ip_right_type,application_number,classification_system,classification,classification_importance,classification_inventiveness,classification_source,classifying_country_code,classification_date,classification_removal_date,classification_system_version,is_current
pbr,1989/002,genus_species,citrus sinensis,,,,au,,,,True
pbr,1989/002,genus,citrus,,,,au,,,,True
pbr,1989/003,upov,citru_sin,,,,au,,,,True
pbr,1989/003,genus_species,citrus sinensis,,,,au,,,,True
pbr,1989/003,genus,citrus,,,,au,,,,True
pbr,1989/004,upov,citru_sin,,,,au,,,,True
pbr,1989/004,genus_species,citrus sinensis,,,,au,,,,True
pbr,1989/004,genus,citrus,,,,au,,,,True
pbr,1989/005,upov,citru_sin,,,,au,,,,True
pbr,1989/005,genus_species,citrus sinensis,,,,au,,,,True
pbr,1989/005,genus,citrus,,,,au,,,,True
pbr,1989/006,upov,citru_sin,,,,au,,,,True
pbr,1989/006,genus_species,citrus sinensis,,,,au,,,,True
pbr,1989/006,genus,citrus,,,,au,,,,True
pbr,1989/007,upov,citru_sin,,,,au,,,,True
pbr,1989/007,genus_species,citrus sinensis,,,,au,,,,True
pbr,1989/007,genus,citrus,,,,au,,,,True
pbr,1989/008,upov,citru_sin,,,,au,,,,True
pbr,1989/008,genus_species,citrus sinensis,,,,au,,,,True
pbr,1989/008,genus,citrus,,,,au,,,,True
pbr,1989/009,upov,rosaa,,,,au,,,,True
pbr,1989/009,genus_species,rosa hybrid,,,,au,,,,True
pbr,1989/009,genus,rosa,,,,au,,,,True
pbr,1989/017,upov,panic_max,,,,au,,,,True
pbr,1989/017,genus_species,panicum maximum,,,,au,,,,True
pbr,1989/017,genus,panicum,,,,au,,,,True
pbr,1989/018,upov,horde_vul,,,,au,,,,True
pbr,1989/018,genus_species,hordeum vulgare,,,,au,,,,True
pbr,1989/018,genus,hordeum,,,,au,,,,True
pbr,1989/019,upov,pisum_sat,,,,au,,,,True
pbr,1989/019,genus_species,pisum sativum,,,,au,,,,True
pbr,1989/019,genus,pisum,,,,au,,,,True
pbr,1989/020,upov,chois_ter,,,,au,,,,True
pbr,1989/020,genus_species,choisya ternata,,,,au,,,,True
pbr,1989/020,genus,choisya,,,,au,,,,True
pbr,1989/021,upov,rosaa,,,,au,,,,True
pbr,1989/021,genus_species,rosa hybrid,,,,au,,,,True
pbr,1989/021,genus,rosa,,,,au,,,,True
pbr,1989/022,upov,acaci_car,,,,au,,,,True
pbr,1989/022,genus_species,acacia cardiophylla,,,,au,,,,True
pbr,1989/022,genus,acacia,,,,au,,,,True
pbr,1989/023,upov,trfol_rep,,,,au,,,,True
pbr,1989/023,genus_species,trifolium repens,,,,au,,,,True
pbr,1989/023,genus,trifolium,,,,au,,,,True
pbr,1989/024,upov,trfol_rep,,,,au,,,,True
pbr,1989/024,genus_species,trifolium repens,,,,au,,,,True
pbr,1989/024,genus,trifolium,,,,au,,,,True
pbr,1989/025,upov,glyci_max,,,,au,,,,True
pbr,1989/025,genus_species,glycine max,,,,au,,,,True
pbr,1989/025,genus,glycine,,,,au,,,,True
pbr,1989/026,upov,pisum_sat,,,,au,,,,True
pbr,1989/026,genus_species,pisum sativum,,,,au,,,,True
pbr,1989/026,genus,pisum,,,,au,,,,True
pbr,1989/027,upov,cucum_mel,,,,au,,,,True
pbr,1989/027,genus_species,cucumis melo,,,,au,,,,True
pbr,1989/027,genus,cucumis,,,,au,,,,True
pbr,1989/028,upov,leche_bil,,,,au,,,,True
pbr,1989/028,genus_species,lechenaultia biloba,,,,au,,,,True
pbr,1989/028,genus,lechenaultia,,,,au,,,,True
pbr,1989/029,upov,prunu_per,,,,au,,,,True
pbr,1989/029,genus_species,prunus persica,,,,au,,,,True
pbr,1989/029,genus,prunus,,,,au,,,,True
pbr,1989/030,upov,prunu_per,,,,au,,,,True
pbr,1989/030,genus_species,prunus persica,,,,au,,,,True
pbr,1989/030,genus,prunus,,,,au,,,,True
pbr,1988/001,upov,macad_int,,,,au,,,,True
pbr,1988/001,genus_species,macadamia integrifolia,,,,au,,,,True
pbr,1988/001,genus,macadamia,,,,au,,,,True
pbr,1988/002,upov,macad_int,,,,au,,,,True
pbr,1988/002,genus_species,macadamia integrifolia,,,,au,,,,True
pbr,1988/002,genus,macadamia,,,,au,,,,True
pbr,1988/003,upov,rosaa,,,,au,,,,True
pbr,1988/003,genus_species,rosa hybrid,,,,au,,,,True
pbr,1988/003,genus,rosa,,,,au,,,,True
pbr,1988/004,upov,loliu_per,,,,au,,,,True
pbr,1988/004,genus_species,lolium perenne,,,,au,,,,True
pbr,1988/004,genus,lolium,,,,au,,,,True
pbr,1988/005,upov,solan_tub,,,,au,,,,True
pbr,1988/005,genus_species,solanum tuberosum,,,,au,,,,True
pbr,1988/005,genus,solanum,,,,au,,,,True
pbr,1988/006,upov,schlu_reg,,,,au,,,,True
pbr,1988/006,genus_species,schlumbergera xreginae,,,,au,,,,True
pbr,1988/006,genus,schlumbergera,,,,au,,,,True
pbr,1988/007,upov,lactu_sat,,,,au,,,,True
pbr,1988/007,genus_species,lactuca sativa,,,,au,,,,True
pbr,1988/007,genus,lactuca,,,,au,,,,True
pbr,1988/008,upov,lactu_sat,,,,au,,,,True
pbr,1988/008,genus_species,lactuca sativa,,,,au,,,,True
pbr,1988/008,genus,lactuca,,,,au,,,,True
pbr,1988/009,upov,setar_sph,,,,au,,,,True
pbr,1988/009,genus_species,setaria sphacelata,,,,au,,,,True
pbr,1988/009,genus,setaria,,,,au,,,,True
pbr,1988/010,upov,loliu_mul,,,,au,,,,True
pbr,1988/010,genus_species,lolium multiflorum,,,,au,,,,True
pbr,1988/010,genus,lolium,,,,au,,,,True
pbr,1988/011,upov,glyci_max,,,,au,,,,True
pbr,1988/011,genus_species,glycine max,,,,au,,,,True
pbr,1988/011,genus,glycine,,,,au,,,,True
pbr,1988/012,upov,glyci_max,,,,au,,,,True
pbr,1988/012,genus_species,glycine max,,,,au,,,,True
pbr,1988/012,genus,glycine,,,,au,,,,True
pbr,1988/013,upov,diant_car,,,,au,,,,True
pbr,1988/013,genus_species,dianthus caryophyllus,,,,au,,,,True
pbr,1988/013,genus,dianthus,,,,au,,,,True
pbr,1988/014,upov,diant_car,,,,au,,,,True
pbr,1988/014,genus_species,dianthus caryophyllus,,,,au,,,,True
pbr,1988/014,genus,dianthus,,,,au,,,,True
pbr,1988/015,upov,diant_car,,,,au,,,,True
pbr,1988/015,genus_species,dianthus caryophyllus,,,,au,,,,True
pbr,1988/015,genus,dianthus,,,,au,,,,True
pbr,1988/016,upov,diant_car,,,,au,,,,True
pbr,1988/016,genus_species,dianthus caryophyllus,,,,au,,,,True
pbr,1988/016,genus,dianthus,,,,au,,,,True
pbr,1988/017,upov,diant_car,,,,au,,,,True
pbr,1988/017,genus_species,dianthus caryophyllus,,,,au,,,,True
pbr,1988/017,genus,dianthus,,,,au,,,,True
